drug_name,medical_condition,drug_classes,activity,pregnancy_category,rating,no_of_reviews,side_effect_categories
1522,Bipolar Disorder,73,2.0,2,8.7,10.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'systemic', 'weight_appetite', 'blood_pressure', 'diabetes']"
1641,Bipolar Disorder,262,2.0,2,2.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
2064,Bipolar Disorder,73,2.0,2,4.8,55.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'systemic', 'mental_health', 'weight_appetite', 'blood_pressure', 'diabetes']"
2110,Bipolar Disorder,203,2.0,4,7.1,13.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'vision', 'weight_appetite', 'blood_pressure']"
2299,Bipolar Disorder,73,2.0,2,2.5,4.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'mental_health', 'weight_appetite', 'blood_pressure', 'diabetes']"
2563,Bipolar Disorder,122,2.0,2,10.0,2.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision']"
13,Bipolar Disorder,73,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'sexual_health', 'blood_pressure', 'diabetes']"
926,Bipolar Disorder,116,1.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'liver', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite']"
2904,Bipolar Disorder,73,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'vision', 'weight_appetite', 'blood_pressure']"
2001,Bipolar Disorder,215,0.0,6,10.0,1.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'sexual_health', 'weight_appetite', 'blood_pressure', 'diabetes']"
1874,Bronchitis,115,85.0,2,5.8,51.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological']"
404,Bronchitis,151,79.0,1,6.2,188.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
405,Bronchitis,151,75.0,1,5.9,17.0,"['gastrointestinal', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
259,Bronchitis,17,46.0,1,5.8,15.0,"['gastrointestinal', 'muscle_pain', 'dermatological', 'blood_pressure']"
1420,Bronchitis,115,46.0,2,6.7,73.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological']"
1671,Bronchitis,218,40.0,2,5.4,120.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'sleep_disorder', 'vision', 'weight_appetite', 'blood_pressure', 'diabetes']"
369,Bronchitis,83,39.0,1,6.5,33.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
1666,Bronchitis,218,32.0,2,5.3,76.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'sleep_disorder', 'vision', 'weight_appetite', 'blood_pressure', 'diabetes']"
2872,Bronchitis,151,28.0,1,5.9,40.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
260,Bronchitis,83,27.0,1,6.5,51.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
751,Bronchitis,151,27.0,2,5.3,138.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
650,Bronchitis,241,25.0,1,4.5,42.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'blood_pressure']"
738,Bronchitis,218,21.0,2,5.5,23.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'vision', 'blood_pressure', 'diabetes']"
261,Bronchitis,17,17.0,1,1.0,1.0,"['gastrointestinal', 'muscle_pain', 'dermatological', 'blood_pressure']"
665,Bronchitis,222,14.0,1,6.1,12.0,"['gastrointestinal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'blood_pressure']"
385,Bronchitis,218,13.0,2,6.5,29.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'vision', 'weight_appetite', 'blood_pressure', 'diabetes']"
735,Bronchitis,218,13.0,2,5.5,11.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'vision', 'blood_pressure', 'diabetes']"
1212,Bronchitis,151,9.0,1,7.5,4.0,"['gastrointestinal', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'hearing', 'weight_appetite', 'blood_pressure']"
662,Bronchitis,222,6.0,1,6.0,2.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'hearing', 'blood_pressure']"
664,Bronchitis,241,6.0,1,6.3,3.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
295,Bronchitis,17,5.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'weight_appetite', 'blood_pressure']"
436,Bronchitis,140,5.0,2,6.5,2.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'systemic', 'vision', 'sexual_health', 'weight_appetite']"
1871,Bronchitis,218,5.0,2,6.1,31.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'vision', 'weight_appetite', 'blood_pressure', 'diabetes']"
653,Bronchitis,241,4.0,1,1.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'blood_pressure']"
1881,Bronchitis,115,4.0,2,7.0,2.0,['other']
736,Bronchitis,218,3.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'vision', 'blood_pressure', 'diabetes']"
737,Bronchitis,218,3.0,2,0.0,0.0,['other']
2308,Bronchitis,115,3.0,2,9.0,1.0,"['gastrointestinal', 'allergic']"
370,Bronchitis,83,2.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'sexual_health', 'weight_appetite', 'blood_pressure']"
492,Bronchitis,151,2.0,2,7.0,4.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
658,Bronchitis,241,2.0,1,2.0,1.0,"['gastrointestinal', 'muscle_pain', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
659,Bronchitis,222,2.0,1,5.8,4.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
1206,Bronchitis,151,2.0,1,7.0,1.0,"['gastrointestinal', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'hearing', 'weight_appetite', 'blood_pressure']"
1421,Bronchitis,115,2.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological']"
2481,Bronchitis,241,2.0,1,1.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'blood_pressure']"
211,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic']"
230,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological']"
257,Bronchitis,83,1.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'sexual_health', 'weight_appetite', 'blood_pressure']"
265,Bronchitis,17,1.0,1,0.0,0.0,"['gastrointestinal', 'neurological', 'muscle_pain', 'dermatological', 'systemic', 'blood_pressure']"
419,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
457,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological']"
496,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic']"
666,Bronchitis,222,1.0,1,8.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
1002,Bronchitis,200,1.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
1071,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological']"
1119,Bronchitis,151,1.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'hearing', 'weight_appetite', 'blood_pressure']"
1207,Bronchitis,151,1.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'hearing', 'weight_appetite', 'blood_pressure']"
1209,Bronchitis,151,1.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'hearing', 'weight_appetite', 'blood_pressure']"
1210,Bronchitis,151,1.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'hearing', 'weight_appetite', 'blood_pressure']"
1211,Bronchitis,151,1.0,1,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'hearing', 'blood_pressure']"
1278,Bronchitis,115,1.0,2,7.0,2.0,"['gastrointestinal', 'allergic']"
1319,Bronchitis,218,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'vision', 'weight_appetite', 'blood_pressure', 'diabetes']"
1378,Bronchitis,218,1.0,2,4.0,5.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'vision', 'blood_pressure', 'diabetes']"
1422,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological']"
1425,Bronchitis,115,1.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
1508,Bronchitis,115,1.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
1880,Bronchitis,115,1.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
1997,Bronchitis,218,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'vision', 'weight_appetite', 'blood_pressure', 'diabetes']"
2079,Bronchitis,151,1.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'hearing', 'weight_appetite', 'blood_pressure']"
2373,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic']"
2469,Bronchitis,233,1.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
2662,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic']"
2829,Bronchitis,115,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic']"
2866,Bronchitis,222,1.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'hearing', 'weight_appetite', 'blood_pressure']"
386,Bronchitis,218,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'vision', 'hearing', 'sexual_health', 'weight_appetite', 'blood_pressure']"
647,Bronchitis,222,0.0,1,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'dermatological', 'systemic', 'blood_pressure']"
728,Bronchitis,96,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
1106,Bronchitis,200,0.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
1110,Bronchitis,200,0.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
1265,Bronchitis,218,0.0,2,1.0,4.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'vision', 'blood_pressure', 'diabetes']"
2186,Bronchitis,96,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
629,Cancer,10,100.0,3,1.0,2.0,"['gastrointestinal', 'renal', 'muscle_pain', 'liver', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
1663,Cancer,10,43.0,3,0.0,0.0,"['gastrointestinal', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'systemic', 'weight_appetite', 'blood_pressure']"
699,Cancer,10,36.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
1326,Cancer,58,24.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'blood_pressure']"
1063,Cancer,39,22.0,3,10.0,2.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'systemic', 'blood_pressure']"
1236,Cancer,177,18.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
882,Cancer,10,17.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'systemic', 'weight_appetite', 'blood_pressure']"
2787,Cancer,177,13.0,3,10.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
867,Cancer,39,10.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
1235,Cancer,177,7.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'muscle_pain', 'systemic', 'blood_pressure']"
1520,Cancer,10,7.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'systemic', 'vision', 'hearing', 'blood_pressure']"
2593,Cancer,177,7.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'muscle_pain', 'cardiovascular', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
2786,Cancer,177,7.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'systemic', 'vision', 'hearing', 'blood_pressure']"
1471,Cancer,166,6.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'systemic', 'weight_appetite', 'blood_pressure']"
1521,Cancer,10,6.0,3,1.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'systemic', 'vision', 'hearing', 'blood_pressure']"
891,Cancer,39,5.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
1321,Cancer,58,4.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'systemic', 'weight_appetite', 'blood_pressure']"
2538,Cancer,10,4.0,3,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
2558,Cancer,10,4.0,3,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
2594,Cancer,166,4.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'systemic', 'weight_appetite', 'blood_pressure']"
360,Cholesterol,231,100.0,5,4.2,243.0,"['allergic', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
2402,Cholesterol,231,53.0,5,4.7,115.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'liver', 'dermatological', 'weight_appetite']"
1692,Cholesterol,231,49.0,5,4.6,83.0,"['allergic', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
2857,Cholesterol,103,49.0,2,4.0,56.0,"['allergic', 'renal', 'muscle_pain', 'systemic']"
1261,Cholesterol,103,44.0,2,3.6,125.0,"['allergic', 'renal', 'muscle_pain', 'systemic']"
873,Cholesterol,231,40.0,5,5.7,109.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'liver', 'weight_appetite']"
2271,Cholesterol,198,33.0,6,4.3,307.0,"['allergic', 'renal', 'muscle_pain', 'dermatological', 'blood_pressure', 'diabetes']"
159,Cholesterol,198,31.0,6,5.6,113.0,"['allergic', 'dermatological']"
1246,Cholesterol,198,31.0,6,4.3,311.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure', 'diabetes']"
2157,Cholesterol,198,31.0,6,5.7,109.0,"['allergic', 'dermatological']"
2318,Cholesterol,231,31.0,5,5.0,189.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite', 'blood_pressure']"
2163,Cholesterol,231,30.0,5,4.3,60.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
1733,Cholesterol,231,14.0,5,6.4,14.0,"['allergic', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
2873,Cholesterol,231,14.0,5,5.0,22.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'liver', 'dermatological', 'systemic', 'weight_appetite']"
1377,Cholesterol,117,9.0,2,6.3,24.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'systemic', 'vision', 'blood_pressure']"
2803,Cholesterol,53,9.0,5,7.3,19.0,"['allergic', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
1701,Cholesterol,231,7.0,5,5.5,81.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
1939,Cholesterol,163,6.0,2,6.0,48.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'vision', 'blood_pressure', 'diabetes']"
214,Cholesterol,231,5.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'muscle_pain', 'cardiovascular', 'systemic']"
1941,Cholesterol,163,5.0,2,5.9,27.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'blood_pressure', 'diabetes']"
2808,Cholesterol,84,5.0,1,6.7,11.0,"['gastrointestinal', 'allergic', 'muscle_pain']"
215,Cholesterol,231,4.0,5,10.0,1.0,"['allergic', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
1263,Cholesterol,53,4.0,5,7.3,19.0,"['allergic', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
1280,Cholesterol,117,4.0,2,5.1,13.0,"['allergic', 'muscle_pain', 'cardiovascular', 'systemic', 'weight_appetite', 'blood_pressure']"
2409,Cholesterol,163,3.0,2,9.5,2.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'weight_appetite']"
816,Cholesterol,84,2.0,1,6.3,14.0,"['gastrointestinal', 'allergic', 'muscle_pain']"
1260,Cholesterol,231,2.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'liver', 'weight_appetite']"
1313,Cholesterol,231,2.0,5,10.0,1.0,"['allergic', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic']"
1716,Cholesterol,117,2.0,2,8.0,6.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'systemic', 'vision', 'blood_pressure']"
2145,Cholesterol,231,2.0,5,5.6,85.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
361,Cholesterol,274,1.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'weight_appetite', 'blood_pressure']"
1336,Cholesterol,231,1.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
1662,Cholesterol,231,1.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
1884,Cholesterol,223,1.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure', 'diabetes']"
1940,Cholesterol,163,1.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'weight_appetite']"
2639,Cholesterol,117,1.0,2,5.1,10.0,"['allergic', 'muscle_pain', 'cardiovascular', 'systemic', 'weight_appetite', 'blood_pressure']"
1262,Cholesterol,53,0.0,6,4.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite']"
1298,Cholesterol,117,0.0,2,0.0,0.0,"['allergic', 'muscle_pain', 'cardiovascular', 'systemic', 'weight_appetite', 'blood_pressure']"
1534,Cholesterol,162,0.0,6,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological']"
1609,Cholesterol,162,0.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'muscle_pain', 'liver', 'weight_appetite']"
1661,Cholesterol,162,0.0,6,0.0,0.0,"['muscle_pain', 'dermatological']"
1713,Cholesterol,162,0.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'muscle_pain', 'liver', 'weight_appetite']"
1742,Cholesterol,53,0.0,5,0.0,0.0,['other']
2319,Cholesterol,53,0.0,6,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'liver', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
2902,Cholesterol,231,0.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'liver', 'systemic', 'weight_appetite']"
441,Colds & Flu,41,100.0,1,9.5,2.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'vision']"
1027,Colds & Flu,41,59.0,1,6.8,5.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'vision']"
2772,Colds & Flu,264,47.0,4,8.2,5.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'sleep_disorder', 'mental_health', 'weight_appetite']"
2770,Colds & Flu,264,46.0,4,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'sleep_disorder', 'vision', 'weight_appetite']"
705,Colds & Flu,50,42.0,1,6.7,3.0,"['allergic', 'neurological', 'cardiovascular', 'vision']"
848,Colds & Flu,264,35.0,4,6.3,8.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'vision', 'weight_appetite']"
2768,Colds & Flu,264,33.0,4,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
442,Colds & Flu,41,29.0,1,7.0,1.0,"['allergic', 'neurological', 'cardiovascular', 'dermatological', 'systemic']"
2767,Colds & Flu,264,26.0,4,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
2773,Colds & Flu,264,22.0,4,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
2203,Colds & Flu,264,20.0,2,10.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'systemic', 'sleep_disorder', 'vision']"
2680,Colds & Flu,264,17.0,4,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
2774,Colds & Flu,259,15.0,4,0.0,0.0,['allergic']
849,Colds & Flu,264,13.0,4,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'sleep_disorder', 'vision', 'weight_appetite']"
2548,Colds & Flu,264,12.0,2,1.0,1.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'liver', 'dermatological', 'sleep_disorder', 'vision', 'weight_appetite']"
40,Colds & Flu,264,10.0,4,7.3,16.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
